2025-06-14 12:27:22.292 python[63901:313770] Metal API Validation Enabled
         165505 function calls (161963 primitive calls) in 0.196 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:477(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 queue.py:1(<module>)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
        1    0.000    0.000    0.000    0.000 string.py:1(<module>)
       99    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
      370    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       19    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     3413    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:444(PercentStyle)
     6246    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
     5331    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 string.py:69(__init_subclass__)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     2083    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
5555/5414    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      696    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 _type_check_impl.py:1(<module>)
        4    0.000    0.000    0.000    0.000 ssl.py:399(__new__)
     5242    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 getlimits.py:167(_register_known_types)
       41    0.000    0.000    0.000    0.000 typing.py:1574(copy_with)
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
      460    0.000    0.000    0.000    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.000    0.000 _arraysetops_impl.py:1(<module>)
       27    0.000    0.000    0.000    0.000 typing.py:1207(_generic_class_getitem)
       14    0.000    0.000    0.000    0.000 typing.py:1449(__ror__)
      800    0.000    0.000    0.000    0.000 _parser.py:167(__getitem__)
       15    0.000    0.000    0.000    0.000 typing.py:806(Optional)
        8    0.000    0.000    0.000    0.000 typing.py:2979(_make_nmtuple)
       64    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       24    0.000    0.000    0.000    0.000 inspect.py:3342(signature)
        1    0.000    0.000    0.000    0.000 __init__.py:458(_mac_os_check)
       24    0.000    0.000    0.000    0.000 inspect.py:3066(from_callable)
       24    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       24    0.000    0.000    0.000    0.000 inspect.py:2477(_signature_from_callable)
      600    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       87    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
       65    0.000    0.000    0.000    0.000 enum.py:695(__call__)
        1    0.000    0.000    0.000    0.000 timeouts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pooling.py:1(<module>)
      391    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
        1    0.000    0.000    0.000    0.000 platform.py:1(<module>)
